,review,rating,autor(a),data
103, Had to hold the tears to look like a tough mf in front of the family 😌😎 anyways rn @ the bathroom floor crying wyd , ★★★★½ ,ximena,16 Jan 2021
104, MY HEART IS SO FULL , ★★★★★ ,rachel,13 Jan 2018
105,"  Arguably the best-titled Pixar film yet. It’s times like this where I kind of want to throw five stars at a movie and call it a day. My friend was having a stressful week, and for two hours, we just sat together in a sparsely-populated theater, laughed, cried and enjoyed a beautiful movie. Coco was easily the most emotional watch I’ve had this year, and while a few moments may pull a little too hard at your heartstrings, they’re balanced…  ", ★★★★½ ,Jacob,06 Dec 2017
106,"  Coco presents two separate ideas of legacy through its rich characters and Day of the Dead celebration. Legacy becomes this place on the mantle rather than a TV screen, or altogether, that missing influence from long ago that still branded you before you even knew it. Mámá Coco, at one time a sweet little girl, had missed out on the loving father figure in her life. The relationships in Coco focus on a little boy and his family's legacy, but also,…  ", ★★★★ ,Ziglet_mir,02 Aug 2022
107, AM I EVER GOING TO STOP CRYING , ★★★★ ,karen h.,05 Mar 2018
108,"  (Disney Pixar) #19 CocoImagine the emotional climax of 'Ratatouille', 'Finding Nemo', and the opening of 'Up' spread across an entire film.This is truly the most beautiful and emotionally impactful animated features I have ever seen which left totally drained, and I was surprised I could muster even more tears for the climax. What can I say I am a sucker for tear jerker movies.This is the best animation I have ever seen, from the shine of the…  ", ★★★★★ ,Justin Peterson,28 Feb 2018
109,"  Coco never fails to grab my emotions right up from the guitar strings.""Our memories, they have to be passed down by those who knew us in life - in the stories they tell about us. But there's no one left alive to pass down Cheech's stories .... Hey, it happens to everyone eventually.""I often complain of getting tired of family dramas, but it was so nice to get swept up in one with such a unique personal identity…  ", ★★★★★ ,Justin Peterson,17 Sep 2023
110, Damn this movie. It gets me every single time. , ★★★★★ ,Luke Robertson,01 Jan 2021
111,"  Best animation of all time 👏👏👏So I again rewatched this film and i cried again as usual, it’s just such a brilliant film. The animation is spectacular, beautiful story and the soundtrack is phenomenal. The emotional aspect of this film is so deep just has you in your feelings from beginning to end. The character development is brilliant for each character learning that family and being who you are the most important things in life. Michael Giacchinos score is…  ", ★★★★★ ,EccyReviews,04 Mar 2023
112," The best Pixar movie, hands down. La mejor película de Pixar. Tiene corazón de sobra. ", ★★★★★ ,cinemonika,27 Jun 2021
113, Is anyone capable of keeping it together when Miguel is singing “Remember Me” to Mama Coco? Top tier tearjerking moment from Pixar. I love that Héctor is waiting at Dia De Los Muertos TSA Like Leonardo DiCaprio at the end of Inception. PIXAR ANIMATION STUDIO RANKED , ★★★★½ ,Jesse,07 Mar 2023
114,"  “Our memories, they have to be passed down by those who knew us in life – in the stories they tell about us.”- Pixar Ranked: boxd.it/5eFMuIf my mom ever broke my daughter's guitar on purpose you can be sure my mom's out on her ass. That family needs to calm the fuck down about music but Coco is adorable and heartwarming and everything that it was promised to be and I recommend it to all. The use of…  ", ★★★★½ ,{Todd},16 Apr 2020
115, happy 6 years to the pixar movie that will never be topped , ★★★★★ ,Awesomemay,21 Nov 2023
116," Lucas: “I saw you crying, dad.”Me: “I saw you too.”Lucas: “Yeah.” ", ★★★★ ,Brian Tallerico,09 Dec 2017
117," mamá imelda is one strong, independent woman that don’t need no man ", ★★★★★ ,adrie,30 Nov 2017
118,"  Geoff T's Pixar Marathon #19Coco (2017)I originally missed out on this for whatever reason, which is a decision I regret heavily upon viewing this for the first time. Trying to represent outside cultures can always be somewhat risky, but Pixar isn't a stranger to this, so I'd say the risk definitely pulled off well with Coco. Lee Unkrich's second directional feature takes us into the heart of Mexico and the 'Day of the Dead' holiday (or 'Día de…  ", ★★★★ ,Geoff T,16 Jul 2018
119, Even better with the Spanish dub. Definitely more emotional. , ★★★★½ ,gregs1999,15 Jul 2023
120, I finally watched Coco and it was via Freeform with commercials it was beautiful I love the cable experience I’m not being sarcastic , ★★★★ ,Cooper D,18 Sep 2023
121," ""What do you think happens when we die, Keanu Reeves?""""I know that the ones who love us, will miss us."" ", ★★★★ ,Mad,03 Mar 2020
122,"  A beautiful tribute to one of the most deeply rooted traditions in Mexico made with great respect and sensitivity, Coco is a story about the importance of family and its role in the shaping of individuals, as well as a story about oblivion, death and the particular way in which it is perceived and part of the mexican idiosyncrasy. The animation is of unquestionable quality, with vibrant colours and great attention to detail; the image of the bridges of cempasúchil…  ", ★★★★ ,Enfant du Siècle,09 Dec 2017
123, Pixar is just a tear factory at this point , ★★★★ ,VitaminC,08 Feb 2022
124, my girlfriend hadn’t seen the film before and turned to me like “aw🥺” during the montage of miguel and ernesto and i had to just bite my tongue about what was about to happen next , ★★★★½ ,gwen,06 Jul 2020
125, 10 minutes in and i was already holding back tears but when he started singing remember me to his baby girl i just started bawling my eyes out , ★★★★½ ,vitor,10 Feb 2024
126, literally a sharp stab in your throat when hector starts singing remember me...... aha what? no i'm not crying aha ha ha , ★★★★ ,ller,07 Jan 2020
